 ,Region of interest ,"E-field total sample (N=72), t(SE) ","E-field total sample (N=72), p ","E-field RUL patients (n=24), t(SE) ","E-field RUL patients (n=24), p ","E-field switchers (n=28), t(SE) ","E-field switchers (n=28), p ","E-field BL patients (n=19), t(SE) ","E-field BL patients (n=19), p "
65,Left Frontal Orbital Cortex ,-0.32 (0.012) ,0.752,-2.24 (0.169) ,0.037,-2.14 (0.050) ,0.043,-0.48 (0.052) ,0.638
66,Right Frontal Orbital Cortex ,-0.78 (0.031) ,0.435,-0.40 (0.068) ,0.694,-1.09 (0.058) ,0.289,0.07 (0.060) ,0.946
67,Left Parahippocampal Gyrus anterior division ,-0.25 (0.015) ,0.805,-2.34 (0.125) ,0.03,-1.73 (0.058) ,0.097,-0.41 (0.077) ,0.684
68,Right Parahippocampal Gyrus anterior division ,-0.30 (0.030) ,0.297,-0.30 (0.064) ,0.768,-0.45 (0.069) ,0.657,-0.18 (0.075) ,0.859
69,Left Parahippocampal Gyrus posterior division ,-2.20 (0.055) ,0.031,-2.02 (0.145) ,0.057,-1.54 (0.094) ,0.137,-1.18 (0.108) ,0.255
70,Right Parahippocampal Gyrus posterior division ,-1.55 (0.037) ,0.125,-1.09 (0.089) ,0.288,-0.55 (0.079) ,0.59,-0.82 (0.111) ,0.427
71,Left Lingual Gyrus ,-1.14 (0.038) ,0.26,-2.06 (0.146) ,0.053,0.34 (0.142) ,0.735,-0.82 (0.371) ,0.425
72,Right Lingual Gyrus ,-1.03 (0.029) ,0.309,-1.82 (0.125) ,0.084,0.33 (0.110) ,0.744,-0.64 (0.285) ,0.531
73,Left Temporal Fusiform Cortex anterior division ,-0.38 (0.011) ,0.707,-2.67 (0.128) ,0.015,-1.49 (0.053) ,0.148,-0.78 (0.043) ,0.447
74,Right Temporal Fusiform Cortex anterior division ,-0.48 (0.026) ,0.632,-0.17 (0.059) ,0.866,-1.03 (0.064) ,0.313,-0.34 (0.068) ,0.739
75,Left Temporal Fusiform Cortex posterior division ,-0.52 (0.020) ,0.605,-2.38 (0.172) ,0.027,-1.54 (0.069) ,0.138,-0.72 (0.057) ,0.484
76,Right Temporal Fusiform Cortex posterior division ,-0.64 (0.033) ,0.528,-0.05 (0.064) ,0.96,-0.18 (0.064) ,0.857,-0.49 (0.059) ,0.629
77,Left Temporal Occipital Fusiform Cortex ,-2.67 (0.078) ,0.009* ,-2.42 (0.015) ,0.025,-1.54 (0.124) ,0.136,-1.96 (0.178) ,0.064
78,Right Temporal Occipital Fusiform Cortex ,-1.01 (0.039) ,0.314,-0.96 (0.099) ,0.348,-0.30 (0.098) ,0.767,-0.55 (0.170) ,0.592
79,Left Occipital Fusiform Gyrus ,-1.99 (0.065) ,0.051,-2.47 (0.158) ,0.022,-0.90 (0.170) ,0.378,-1.32 (0.355) ,0.207
80,Right Occipital Fusiform Gyrus ,-1.04 (0.039) ,0.314,-1.15 (0.162) ,0.263,-0.14 (0.136) ,0.89,-0.64 (0.266) ,0.53
81,Left Frontal Operculum Cortex ,-0.48 (0.018) ,0.63,-2.86 (0.173) ,0.010* ,-1.82 (0.054) ,0.082,-0.49 (0.063) ,0.63
82,Right Frontal Operculum Cortex ,-1.05 (0.029) ,0.297,-0.17 (0.063) ,0.87,-0.73 (0.050) ,0.47,-0.27 (0.069) ,0.789
83,Left Central Opercular Cortex ,-1.54 (0.028) ,0.129,-2.96 (0.139) ,0.008* ,-1.69 (0.067) ,0.105,-0.91 (0.051) ,0.379
84,Right Central Opercular Cortex ,-1.36 (0.017) ,0.177,-0.84 (0.055) ,0.412,0.01 (0.055) ,0.996,-0.66 (0.030) ,0.522
85,Left Parietal Operculum Cortex ,-2.91 (0.050) ,0.005* ,-1.81 (0.142) ,0.085,-1.52 (0.108) ,0.145,-1.57 (0.080) ,0.139
86,Right Parietal Operculum Cortex ,-0.77 (0.015) ,0.445,-0.32 (0.060) ,0.751,1.20 (0.057) ,0.242,-0.69 (0.060) ,0.5
87,Left Planum Polare ,-0.50 (0.012) ,0.62,-2.41 (0.017) ,0.025,-1.50 (0.044) ,0.146,-0.46 (0.024) ,0.655
88,Right Planum Polare ,-1.08 (0.017) ,0.282,-0.13 (0.044) ,0.9,-0.03 (0.045) ,0.974,-0.50 (0.025) ,0.621
89,Left Heschls Gyrus includes H1 and H2 ,-1.75 (0.028) ,0.085,-2.57 (0.132) ,0.018,-1.79 (0.070) ,0.087,-1.15 (0.051) ,0.267
90,Right Heschls Gyrus includes H1 and H2 ,-1.42 (0.019) ,0.159,-0.86 (0.053) ,0.402,-0.06 (0.059) ,0.955,-0.76 (0.039) ,0.456
91,Left Planum Temporale ,-1.62 (0.032) ,0.11,-2.90 (0.146) ,0.009* ,-1.62 (0.076) ,0.118,-1.00 (0.059) ,0.333
92,Right Planum Temporale ,-1.17 (0.015) ,0.246,-0.58 (0.049) ,0.569,0.59 (0.057) ,0.56,-0.67 (0.028) ,0.513
93,Left Supracalcarine Cortex ,-0.35 (0.018) ,0.726,0.23 (0.115) ,0.822,1.18 (0.085) ,0.249,-0.09 (0.402) ,0.931
94,Right Supracalcarine Cortex ,-0.47 (0.016) ,0.642,-0.32 (0.089) ,0.754,0.99 (0.079) ,0.332,-0.33 (0.347) ,0.743
95,Left Occipital Pole ,-0.72 (0.020) ,0.472,-2.41 (0.097) ,0.027,1.01 (0.096) ,0.321,-0.06 (0.372) ,0.954
96,Right Occipital Pole ,-0.67 (0.017) ,0.507,-2.09 (0.106) ,0.05,0.70 (0.086) ,0.493,-0.13 (0.293) ,0.898
97,Left Cerebral White Matter ,-1.60 (0.058) ,0.115,-1.18 (0.132) ,0.253,-0.48 (0.086) ,0.635,-1.18 (0.132) ,0.253
98,Left Cerebral Cortex ,-1.37 (0.044) ,0.175,-1.23 (0.166) ,0.232,-0.96 (0.097) ,0.346,-0.83 (0.089) ,0.417
99,Left Lateral Ventricle ,-2.00 (0.084) ,0.049,-0.85 (0.169) ,0.408,0.12 (0.155) ,0.906,-0.91 (0.182) ,0.376
100,Left Thalamus ,-1.84 (0.067) ,0.07,-1.86 (0.141) ,0.078,0.05 (0.111) ,0.96,-0.49 (0.164) ,0.628
101,Left Caudate ,-0.39 (0.021) ,0.7,-1.48 (0.147) ,0.154,-0.95 (0.072) ,0.351,-0.60 (0.089) ,0.56
102,Left Putamen ,-0.47 (0.020) ,0.638,-1.97 (0.168) ,0.063,-1.36 (0.072) ,0.187,-0.51 (0.065) ,0.615
103,Left Pallidum ,-0.35 (0.019) ,0.729,-1.75 (0.136) ,0.095,-1.29 (0.060) ,0.21,-0.35 (0.074) ,0.729
104,Left Brain Stem ,-2.53 (0.065) ,0.014,-2.46 (0.155) ,0.023,-0.84 (0.098) ,0.411,-1.37 (0.186) ,0.191
105,Right Brain Stem ,-1.73 (0.046) ,0.088,-1.49 (0.118) ,0.152,-0.53 (0.089) ,0.603,-0.94 (0.187) ,0.364
106,Left Hippocampus ,-1.09 (0.033) ,0.279,-1.78 (0.152) ,0.09,-1.69 (0.085) ,0.104,-0.88 (0.078) ,0.391
107,Left Amygdala ,-0.54 (0.019) ,0.591,-2.08 (0.117) ,0.05,-1.71 (0.060) ,0.104,-0.58 (0.068) ,0.568
108,Left Accumbens ,-0.94 (0.026) ,0.352,-1.46 (0.133) ,0.159,-1.55 (0.065) ,0.135,-0.75 (0.056) ,0.465
109,Right Cerebral White Matter ,-0.61 (0.024) ,0.547,-0.10 (0.075) ,0.919,0.71 (0.064) ,0.487,-0.22 (0.105) ,0.826
110,Right Cerebral Cortex ,-0.90 (0.023) ,0.372,-0.34 (0.092) ,0.736,0.54 (0.076) ,0.597,-0.60 (0.095) ,0.559
111,Right Lateral Ventricle ,-1.48 (0.068) ,0.143,-0.46 (0.159) ,0.651,0.30 (0.152) ,0.764,-0.56 (0.155) ,0.582
112,Right Thalamus ,-1.29 (0.043) ,0.2,-1.16 (0.118) ,0.261,0.05 (0.099) ,0.958,-0.09 (0.129) ,0.926
113,Right Caudate ,-0.88 (0.049) ,0.381,-0.74 (0.095) ,0.47,0.13 (0.086) ,0.898,-0.03 (0.090) ,0.973
114,Right Putamen ,-0.61 (0.037) ,0.542,-0.41 (0.084) ,0.689,-0.01 (0.078) ,0.995,-0.09 (0.061) ,0.926
115,Right Pallidum ,-0.42 (0.035) ,0.678,-0.39 (0.071) ,0.7,0.01 (0.061) ,0.992,0.08 (0.067) ,0.939
116,Right Hippocampus ,-1.16 (0.042) ,0.25,-0.85 (0.077) ,0.408,-0.35 (0.083) ,0.727,-0.85 (0.077) ,0.408
117,Right Amygdala ,-0.39 (0.025) ,0.697,-0.61 (0.075) ,0.55,-0.78 (0.069) ,0.443,-0.24 (0.068) ,0.816
118,Right Accumbens ,-1.25 (0.031) ,0.214,-1.14 (0.073) ,0.266,-0.03 (0.062) ,0.979,-0.42 (0.082) ,0.678
